date,method,confidence,train_start,train_end,loss,var,es,breach
2022-11-14,Gaussian,0.95,2021-11-03,2022-11-11,-9.359315221650014e-06,0.011339621625071673,0.014153626691090071,False
2022-11-15,Historical,0.95,2021-11-04,2022-11-14,-0.004377119403435075,0.010833704286793833,0.013644189273270692,False
2022-11-15,Gaussian,0.95,2021-11-04,2022-11-14,-0.004377119403435075,0.011329337046301239,0.014142911004944825,False
2022-11-16,Historical,0.95,2021-11-05,2022-11-15,0.0014135695045547003,0.010833704286793833,0.013644189273270692,False
2022-11-16,Gaussian,0.95,2021-11-05,2022-11-15,0.0014135695045547003,0.011326455824817349,0.014137339664396894,False
2022-11-17,Historical,0.95,2021-11-08,2022-11-16,0.004447747004100475,0.010833704286793833,0.013644189273270692,False
2022-11-17,Gaussian,0.95,2021-11-08,2022-11-16,0.004447747004100475,0.011336443688687288,0.014141929997721158,False
2022-11-18,Historical,0.95,2021-11-09,2022-11-17,8.774613748097505e-05,0.010833704286793833,0.013644189273270692,False
2022-11-18,Gaussian,0.95,2021-11-09,2022-11-17,8.774613748097505e-05,0.01136233009172375,0.0141699579136883,False
2022-11-21,Historical,0.95,2021-11-10,2022-11-18,0.002815491428489275,0.010833704286793833,0.013644189273270692,False
2022-11-21,Gaussian,0.95,2021-11-10,2022-11-18,0.002815491428489275,0.011364707481466505,0.014172236978856277,False
2022-11-22,Historical,0.95,2021-11-11,2022-11-21,-0.0076918255088111,0.010833704286793833,0.013644189273270692,False
2022-11-22,Gaussian,0.95,2021-11-11,2022-11-21,-0.0076918255088111,0.011381598106692047,0.014189749591049905,False
2022-11-23,Historical,0.95,2021-11-12,2022-11-22,-0.0047980995026268,0.010833704286793833,0.013644189273270692,False
2022-11-23,Gaussian,0.95,2021-11-12,2022-11-22,-0.0047980995026268,0.011388050047397492,0.014203389963689701,False
2022-11-25,Historical,0.95,2021-11-15,2022-11-23,-0.000786702498007025,0.010833704286793833,0.013644189273270692,False
2022-11-25,Gaussian,0.95,2021-11-15,2022-11-23,-0.000786702498007025,0.011386167937588218,0.014204304924195856,False
2022-11-28,Historical,0.95,2021-11-16,2022-11-25,0.006158100108913325,0.010833704286793833,0.013644189273270692,False
2022-11-28,Gaussian,0.95,2021-11-16,2022-11-25,0.006158100108913325,0.011378209612887585,0.014196379168712747,False
2022-11-29,Historical,0.95,2021-11-17,2022-11-28,-0.00105316646217105,0.010833704286793833,0.013644189273270692,False
2022-11-29,Gaussian,0.95,2021-11-17,2022-11-28,-0.00105316646217105,0.011410767817945214,0.014232889539279854,False
2022-11-30,Historical,0.95,2021-11-18,2022-11-29,-0.015214210954425052,0.010833704286793833,0.013644189273270692,False
2022-11-30,Gaussian,0.95,2021-11-18,2022-11-29,-0.015214210954425052,0.01141142467291395,0.014233451313267512,False
2022-12-01,Historical,0.95,2021-11-19,2022-11-30,-0.0066278132428672,0.010833704286793833,0.013644189273270692,False
2022-12-01,Gaussian,0.95,2021-11-19,2022-11-30,-0.0066278132428672,0.011462914299802994,0.01431450801381389,False
2022-12-02,Historical,0.95,2021-11-22,2022-12-01,0.0007309129126030001,0.010833704286793833,0.013644189273270692,False
2022-12-02,Gaussian,0.95,2021-11-22,2022-12-01,0.0007309129126030001,0.011445291936205039,0.014301888440611244,False
2022-12-05,Historical,0.95,2021-11-23,2022-12-02,0.0109228616575772,0.010833704286793833,0.013644189273270692,True
2022-12-05,Gaussian,0.95,2021-11-23,2022-12-02,0.0109228616575772,0.011396544130292171,0.014247257857745275,False
2022-12-06,Historical,0.95,2021-11-24,2022-12-05,0.0029026804595790505,0.010884563288814235,0.01364968408445111,False
2022-12-06,Gaussian,0.95,2021-11-24,2022-12-05,0.0029026804595790505,0.011483937653958155,0.014348185649421986,False
2022-12-07,Historical,0.95,2021-11-26,2022-12-06,-0.0029113636879271754,0.010884563288814235,0.01364968408445111,False
2022-12-07,Gaussian,0.95,2021-11-26,2022-12-06,-0.0029113636879271754,0.011504213687394805,0.014368855048747896,False
2022-12-08,Historical,0.95,2021-11-29,2022-12-07,-0.00011134132382974995,0.010833704286793833,0.013625022818964707,False
2022-12-08,Gaussian,0.95,2021-11-29,2022-12-07,-0.00011134132382974995,0.011394413180398928,0.01424547177940554,False
2022-12-09,Historical,0.95,2021-11-30,2022-12-08,0.002655465867526425,0.010833704286793833,0.013625022818964707,False
2022-12-09,Gaussian,0.95,2021-11-30,2022-12-08,0.002655465867526425,0.01140124550660215,0.014249341946861773,False
2022-12-12,Historical,0.95,2021-12-01,2022-12-09,-0.00012379732011740018,0.010833704286793833,0.013625022818964707,False
2022-12-12,Gaussian,0.95,2021-12-01,2022-12-09,-0.00012379732011740018,0.011367451983385048,0.014211071306802625,False
2022-12-13,Historical,0.95,2021-12-02,2022-12-12,-0.010254695349968474,0.010833704286793833,0.013625022818964707,False
2022-12-13,Gaussian,0.95,2021-12-02,2022-12-12,-0.010254695349968474,0.011373345832100971,0.014216168448566768,False
2022-12-14,Historical,0.95,2021-12-03,2022-12-13,0.0016699892892006749,0.010833704286793833,0.013625022818964707,False
2022-12-14,Gaussian,0.95,2021-12-03,2022-12-13,0.0016699892892006749,0.011385801324546774,0.01424195677991171,False
2022-12-15,Historical,0.95,2021-12-06,2022-12-14,0.0121583670201685,0.010833704286793833,0.013625022818964707,True
2022-12-15,Gaussian,0.95,2021-12-06,2022-12-14,0.0121583670201685,0.011397570536486558,0.014253780651058725,True
2022-12-16,Historical,0.95,2021-12-07,2022-12-15,0.004407360213488875,0.010884563288814235,0.01372555650419061,False
2022-12-16,Gaussian,0.95,2021-12-07,2022-12-15,0.004407360213488875,0.011522351942417677,0.01439289444837757,False
